Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789886154,12,,Aggregated,1.100000,0.000000,7900,12000,17000,17000,20000,22000,24000,24000,24000,24000,24000,40,0,7900,9927.309197250137,2340.0559010005964,24096.41968899996,234.6
1789886155,12,,Aggregated,1.100000,0.000000,7600,12000,14000,17000,19000,21000,24000,24000,24000,24000,24000,41,0,7600,9783.131617756228,2340.0559010005964,24096.41968899996,234.29268292682926
1789886156,12,,Aggregated,1.100000,0.000000,7400,11000,14000,17000,19000,21000,24000,24000,24000,24000,24000,43,0,7400,9530.246155511759,2340.0559010005964,24096.41968899996,233.72093023255815
1789886157,12,,Aggregated,1.500000,0.000000,6900,9500,13000,17000,19000,21000,24000,24000,24000,24000,24000,46,0,6900,9003.421957195791,1451.6685460002918,24096.41968899996,232.95652173913044
1789886158,12,,Aggregated,1.900000,0.000000,6900,9500,13000,17000,19000,21000,24000,24000,24000,24000,24000,47,0,6900,8846.585142042697,1451.6685460002918,24096.41968899996,232.72340425531914
1789886159,12,,Aggregated,1.900000,0.000000,6900,9500,13000,17000,19000,21000,24000,24000,24000,24000,24000,47,0,6900,8846.585142042697,1451.6685460002918,24096.41968899996,232.72340425531914
1789886160,12,,Aggregated,2.500000,0.000000,6900,9300,12000,17000,19000,21000,24000,24000,24000,24000,24000,50,0,6900,8416.65807748017,1451.6685460002918,24096.41968899996,232.8
1789886161,12,,Aggregated,2.100000,0.000000,6900,8000,12000,14000,18000,21000,22000,24000,24000,24000,24000,51,0,6900,8281.880927294254,1451.6685460002918,24096.41968899996,233.2941176470588
1789886162,12,,Aggregated,1.900000,0.000000,5700,7900,12000,13000,18000,21000,22000,24000,24000,24000,24000,56,0,5700,7721.455931017998,1141.843257999426,24096.41968899996,232.92857142857142
1789886163,12,,Aggregated,1.900000,0.000000,5000,7900,11000,13000,18000,21000,22000,24000,24000,24000,24000,57,0,5000,7605.953357140478,1137.8092199993262,24096.41968899996,232.73684210526315
1789886164,12,,Aggregated,2.400000,0.000000,5000,7600,11000,13000,18000,21000,22000,24000,24000,24000,24000,60,0,5000,7318.192878733497,1137.8092199993262,24096.41968899996,232.2
1789886165,12,,Aggregated,2.400000,0.000000,5000,7600,11000,13000,18000,21000,22000,24000,24000,24000,24000,60,0,5000,7318.192878733497,1137.8092199993262,24096.41968899996,232.2
1789886166,12,,Aggregated,2.400000,0.000000,5000,7600,11000,13000,18000,21000,22000,24000,24000,24000,24000,60,0,5000,7318.192878733497,1137.8092199993262,24096.41968899996,232.2
1789886167,12,,Aggregated,2.000000,0.000000,4900,7400,9500,12000,17000,20000,22000,24000,24000,24000,24000,63,0,4900,7039.899126777931,1137.8092199993262,24096.41968899996,232.85714285714286
1789886168,12,,Aggregated,1.700000,0.000000,4700,6900,9300,12000,17000,20000,22000,24000,24000,24000,24000,65,0,4700,6858.4713861539885,1137.8092199993262,24096.41968899996,232.52307692307693
1789886169,12,,Aggregated,1.400000,0.000000,4000,6900,8000,12000,17000,20000,22000,24000,24000,24000,24000,69,0,4000,6580.693253304491,1137.8092199993262,24096.41968899996,232.43478260869566
1789886170,12,,Aggregated,1.400000,0.000000,4000,6900,8000,12000,17000,20000,22000,24000,24000,24000,24000,69,0,4000,6580.693253304491,1137.8092199993262,24096.41968899996,232.43478260869566
